1, ocean, minecraft:ocean, MONSTER, minecraft:spider, 80, 4, 4
2, ocean, minecraft:ocean, MONSTER, minecraft:zombie, 80, 4, 4
3, ocean, minecraft:ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
4, ocean, minecraft:ocean, MONSTER, minecraft:skeleton, 80, 4, 4
5, ocean, minecraft:ocean, MONSTER, minecraft:creeper, 80, 4, 4
6, ocean, minecraft:ocean, MONSTER, minecraft:slime, 80, 4, 4
7, ocean, minecraft:ocean, MONSTER, minecraft:enderman, 5, 1, 4
8, ocean, minecraft:ocean, MONSTER, minecraft:witch, 5, 1, 1
9, ocean, minecraft:ocean, MONSTER, minecraft:drowned, 10, 1, 1
10, ocean, minecraft:ocean, MONSTER, mowziesmobs:grottol, 10, 1, 1
11, ocean, minecraft:ocean, MONSTER, dannys_expansion:ghoul, 20, 1, 3
12, ocean, minecraft:ocean, MONSTER, dannys_expansion:possessed_armor, 10, 1, 1
13, ocean, minecraft:ocean, MONSTER, dannys_expansion:sporer, 10, 1, 1
14, ocean, minecraft:ocean, MONSTER, mowziesmobs:grottol, 10, 1, 1
15, ocean, minecraft:ocean, CREATURE, risingtides:walrus, 10, 5, 5
16, ocean, minecraft:ocean, AMBIENT, minecraft:bat, 10, 8, 8
17, ocean, minecraft:ocean, AMBIENT, risingtides:whale, 10, 1, 1
18, ocean, minecraft:ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
19, ocean, minecraft:ocean, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
20, ocean, minecraft:ocean, WATER_CREATURE, risingtides:shark, 13, 3, 4
21, ocean, minecraft:ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
22, ocean, minecraft:ocean, WATER_AMBIENT, risingtides:jellyfish, 12, 3, 5
23, ocean, minecraft:ocean, WATER_AMBIENT, risingtides:seahorse, 16, 7, 8
24, ocean, minecraft:ocean, WATER_AMBIENT, risingtides:lionfish, 13, 2, 3
25, ocean, minecraft:ocean, WATER_AMBIENT, risingtides:mantaray, 11, 2, 3
26, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
27, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
28, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 10, 1, 1
29, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
30, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
31, ocean, minecraft:ocean, pvj_ambient, projectvibrantjourneys:fly, 15, 1, 3
32, ocean, minecraft:ocean, pvj_ambient, projectvibrantjourneys:snail, 30, 1, 3
33, ocean, minecraft:ocean, pvj_ambient, projectvibrantjourneys:slug, 25, 1, 3
34, ocean, minecraft:ocean, pvj_ambient, projectvibrantjourneys:small_spider, 10, 1, 1
35, ocean, minecraft:ocean, pvj_water_ambient, projectvibrantjourneys:ocean_starfish, 15, 1, 4
36, ocean, minecraft:ocean, pvj_water_ambient, projectvibrantjourneys:clam, 10, 1, 3
37, ocean, minecraft:ocean, pvj_night_ambient, projectvibrantjourneys:firefly, 30, 1, 5
38, ocean, minecraft:ocean, pvj_night_ambient, projectvibrantjourneys:night_bat, 10, 1, 3
39, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
40, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
41, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
42, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
43, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
44, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
45, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
46, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
47, plains, minecraft:plains, MONSTER, mowziesmobs:grottol, 10, 1, 1
48, plains, minecraft:plains, MONSTER, dannys_expansion:ghoul, 20, 1, 3
49, plains, minecraft:plains, MONSTER, dannys_expansion:mundane_slime, 13, 1, 1
50, plains, minecraft:plains, MONSTER, dannys_expansion:mundane_slime, 13, 1, 1
51, plains, minecraft:plains, MONSTER, dannys_expansion:possessed_armor, 10, 1, 1
52, plains, minecraft:plains, MONSTER, dannys_expansion:rammer, 10, 1, 1
53, plains, minecraft:plains, MONSTER, dannys_expansion:sporer, 10, 1, 1
54, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
55, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
56, plains, minecraft:plains, MONSTER, mowziesmobs:grottol, 10, 1, 1
57, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 4, 4
58, plains, minecraft:plains, CREATURE, minecraft:pig, 10, 4, 4
59, plains, minecraft:plains, CREATURE, minecraft:chicken, 10, 4, 4
60, plains, minecraft:plains, CREATURE, minecraft:cow, 10, 4, 4
61, plains, minecraft:plains, CREATURE, minecraft:horse, 10, 2, 6
62, plains, minecraft:plains, CREATURE, minecraft:donkey, 10, 1, 3
63, plains, minecraft:plains, CREATURE, exoticbirds:hummingbird, 18, 2, 5
64, plains, minecraft:plains, CREATURE, exoticbirds:peafowl, 10, 2, 5
65, plains, minecraft:plains, CREATURE, exoticbirds:cassowary, 10, 2, 5
66, plains, minecraft:plains, CREATURE, exoticbirds:pigeon, 12, 2, 5
67, plains, minecraft:plains, CREATURE, risingtides:snail, 12, 3, 5
68, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
